feed_copterspotter  | 2024-10-25 06:27:25,443 - feed_copterspotter - INFO - Heli Reported a62041: 1729837645.001 B407 N494PH  altbaro 1075 altgeom 1050 head 20.14 Lat: 38.680984, Lon: -76.907282 gs 95.9 rssi -24.3 no squawk
feed_copterspotter  | 2024-10-25 06:27:55,656 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: A7 flight:  tail: N494PH type: B407 seen: 28 times
feed_copterspotter  | 2024-10-25 06:27:55,657 - feed_copterspotter - INFO - No Lat/Lon - Not reported: a62041: 1729837675.0 B407 N494PH  no heading Lat: None, Lon: None
feed_copterspotter  | 2024-10-25 06:27:55,662 - feed_copterspotter - INFO - hex_icao: a62041 flight:  seen: 28
feed_copterspotter  | 2024-10-25 06:28:25,672 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: A7 flight:  tail: N494PH type: B407 seen: 29 times
feed_copterspotter  | 2024-10-25 06:28:25,672 - feed_copterspotter - INFO - Heli Reported a62041: 1729837705.0 B407 N494PH no call (N494PH) altbaro 1075 no heading Lat: 38.714144, Lon: -76.890869 rssi -25.4 no squawk
feed_copterspotter  | 2024-10-25 06:28:55,864 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: A7 flight:  tail: N494PH type: B407 seen: 30 times
feed_copterspotter  | 2024-10-25 06:28:55,864 - feed_copterspotter - INFO - Heli Reported a62041: 1729837735.0 B407 N494PH no call (N494PH) altbaro 1075 altgeom 1050 head 19.93 Lat: 38.736465, Lon: -76.88113 gs 96.8 rssi -24.0 no squawk
feed_copterspotter  | 2024-10-25 06:29:26,068 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: A7 flight:  tail: N494PH type: B407 seen: 31 times
feed_copterspotter  | 2024-10-25 06:29:26,068 - feed_copterspotter - INFO - Heli Reported a62041: 1729837766.001 B407 N494PH  altbaro 1100 altgeom 1075 head 21.25 Lat: 38.747086, Lon: -76.875756 gs 96.6 rssi -21.9 5202
feed_copterspotter  | 2024-10-25 06:29:56,267 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: A7 flight:  tail: N494PH type: B407 seen: 32 times
feed_copterspotter  | 2024-10-25 06:29:56,267 - feed_copterspotter - INFO - Heli Reported a62041: 1729837796.0 B407 N494PH  altbaro 1075 altgeom 1050 head 19.37 Lat: 38.762559, Lon: -76.86853 gs 96.5 rssi -22.3 5202
feed_copterspotter  | 2024-10-25 06:30:26,458 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: A7 flight:  tail: N494PH type: B407 seen: 33 times
feed_copterspotter  | 2024-10-25 06:30:26,458 - feed_copterspotter - INFO - Heli Reported a62041: 1729837826.0 B407 N494PH  altbaro 1100 altgeom 1075 head 20.49 Lat: 38.77578, Lon: -76.862244 gs 97.1 rssi -22.0 5202
feed_copterspotter  | 2024-10-25 06:30:56,725 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: A7 flight:  tail: N494PH type: B407 seen: 34 times
feed_copterspotter  | 2024-10-25 06:30:56,725 - feed_copterspotter - INFO - Heli Reported a62041: 1729837856.001 B407 N494PH  altbaro 1075 altgeom 1050 head 17.32 Lat: 38.788907, Lon: -76.856445 gs 97.4 rssi -22.5 no squawk
feed_copterspotter  | 2024-10-25 06:31:26,917 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: A7 flight:  tail: N494PH type: B407 seen: 35 times
feed_copterspotter  | 2024-10-25 06:31:26,917 - feed_copterspotter - INFO - Heli Reported a62041: 1729837886.001 B407 N494PH  altbaro 1075 altgeom 1050 head 17.88 Lat: 38.795288, Lon: -76.853843 gs 97.7 rssi -22.1 no squawk
feed_copterspotter  | 2024-10-25 06:31:57,137 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: A7 flight:  tail: N494PH type: B407 seen: 36 times
feed_copterspotter  | 2024-10-25 06:31:57,138 - feed_copterspotter - INFO - Heli Reported a62041: 1729837917.001 B407 N494PH  altbaro 1075 altgeom 1050 head 20.28 Lat: 38.805634, Lon: -76.849067 gs 98.1 rssi -23.0 no squawk
feed_copterspotter  | 2024-10-25 06:32:27,347 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: A7 flight:  tail: N494PH type: B407 seen: 37 times
