feed_copterspotter  | 2024-10-25 00:00:05,026 - feed_copterspotter - INFO - Updating Helidb at 2024-10-25 00:00:05 UTC +0000 
feed_copterspotter  | 2024-10-25 00:00:05,038 - feed_copterspotter - INFO - Aircraft: ac9a73 is rotorcraft - Category: A7 flight: N911AS tail: N911AS type: AS50 seen: 432 times
feed_copterspotter  | 2024-10-25 00:00:05,039 - feed_copterspotter - INFO - Heli Reported ac9a73: 1729814405.0 AS50 N911AS N911AS altbaro 400 altgeom 375 head 162.72 Lat: 38.893836, Lon: -76.9375 gs 47.1 rssi -23.6 no squawk
feed_copterspotter  | 2024-10-25 00:00:05,240 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-25 00:00:35,242 - feed_copterspotter - INFO - Updating Helidb at 2024-10-25 00:00:35 UTC +0000 
feed_copterspotter  | 2024-10-25 00:00:35,252 - feed_copterspotter - INFO - Aircraft: ac9a73 is rotorcraft - Category: A7 flight: N911AS tail: N911AS type: AS50 seen: 433 times
feed_copterspotter  | 2024-10-25 00:00:35,253 - feed_copterspotter - INFO - Heli Reported ac9a73: 1729814435.0 AS50 N911AS N911AS altbaro 300 altgeom 275 head 233.39 Lat: 38.893936, Lon: -76.937435 gs 43.6 rssi -23.2 no squawk
feed_copterspotter  | 2024-10-25 00:00:35,441 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-25 00:01:05,445 - feed_copterspotter - INFO - Updating Helidb at 2024-10-25 00:01:05 UTC +0000 
feed_copterspotter  | 2024-10-25 00:01:05,461 - feed_copterspotter - INFO - Aircraft: ac9a73 is rotorcraft - Category: A7 flight: N911AS tail: N911AS type: AS50 seen: 434 times
feed_copterspotter  | 2024-10-25 00:01:05,462 - feed_copterspotter - INFO - Heli Reported ac9a73: 1729814465.001 AS50 N911AS N911AS altbaro 300 altgeom 275 head 161.11 Lat: 38.893936, Lon: -76.937435 gs 40.2 rssi -23.6 no squawk
feed_copterspotter  | 2024-10-25 00:01:05,640 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-25 00:01:35,643 - feed_copterspotter - INFO - Updating Helidb at 2024-10-25 00:01:35 UTC +0000 
feed_copterspotter  | 2024-10-25 00:01:35,655 - feed_copterspotter - INFO - Aircraft: ac9a73 is rotorcraft - Category: A7 flight: N911AS tail: N911AS type: AS50 seen: 435 times
feed_copterspotter  | 2024-10-25 00:01:35,655 - feed_copterspotter - INFO - Heli Reported ac9a73: 1729814495.001 AS50 N911AS N911AS altbaro 300 altgeom 275 head 161.11 Lat: 38.894577, Lon: -76.937495 gs 40.2 rssi -23.6 no squawk
feed_copterspotter  | 2024-10-25 00:01:35,839 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-25 00:01:35,840 - feed_copterspotter - INFO - Aircraft: ae0bed is rotorcraft - Category: A7 flight: G7822973 tail: Unknown type: Unknown seen: 20 times
feed_copterspotter  | 2024-10-25 00:02:05,841 - feed_copterspotter - INFO - Updating Helidb at 2024-10-25 00:02:05 UTC +0000 
feed_copterspotter  | 2024-10-25 00:02:05,853 - feed_copterspotter - INFO - Aircraft: ae0bed is rotorcraft - Category: A7 flight: G7822973 tail: Unknown type: Unknown seen: 21 times
feed_copterspotter  | 2024-10-25 00:02:05,854 - feed_copterspotter - INFO - Aircraft: ac9a73 is rotorcraft - Category: A7 flight: N911AS tail: N911AS type: AS50 seen: 436 times
feed_copterspotter  | 2024-10-25 00:02:05,854 - feed_copterspotter - INFO - Heli Reported ac9a73: 1729814525.0 AS50 N911AS N911AS altbaro 300 altgeom 275 no heading Lat: 38.894577, Lon: -76.937495 rssi -22.7 no squawk
feed_copterspotter  | 2024-10-25 00:02:06,054 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-25 00:02:36,057 - feed_copterspotter - INFO - Updating Helidb at 2024-10-25 00:02:36 UTC +0000 
feed_copterspotter  | 2024-10-25 00:02:36,067 - feed_copterspotter - INFO - Aircraft: ae0bed is rotorcraft - Category: A7 flight: G7822973 tail: Unknown type: Unknown seen: 22 times
feed_copterspotter  | 2024-10-25 00:02:36,068 - feed_copterspotter - INFO - Aircraft: ac9a73 is rotorcraft - Category: A7 flight: N911AS tail: N911AS type: AS50 seen: 437 times
feed_copterspotter  | 2024-10-25 00:02:36,068 - feed_copterspotter - INFO - No Lat/Lon - Not reported: ac9a73: 1729814556.0 AS50 N911AS N911AS altbaro 300 no heading Lat: None, Lon: None
feed_copterspotter  | 2024-10-25 00:03:06,070 - feed_copterspotter - INFO - Updating Helidb at 2024-10-25 00:03:06 UTC +0000 
feed_copterspotter  | 2024-10-25 00:03:06,082 - feed_copterspotter - INFO - Aircraft: ae0bed is rotorcraft - Category: A7 flight: G7822973 tail: Unknown type: Unknown seen: 23 times
feed_copterspotter  | 2024-10-25 00:03:06,083 - feed_copterspotter - INFO - Aircraft: ac9a73 is rotorcraft - Category: A7 flight: N911AS tail: N911AS type: AS50 seen: 438 times
feed_copterspotter  | 2024-10-25 00:03:06,083 - feed_copterspotter - INFO - Heli Reported ac9a73: 1729814586.0 AS50 N911AS N911AS altbaro 300 no heading Lat: 38.893836, Lon: -76.937744 rssi -22.6 no squawk
feed_copterspotter  | 2024-10-25 00:03:06,316 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-25 00:03:36,319 - feed_copterspotter - INFO - Updating Helidb at 2024-10-25 00:03:36 UTC +0000 
feed_copterspotter  | 2024-10-25 00:03:36,331 - feed_copterspotter - INFO - Aircraft: ac9a73 is rotorcraft - Category: A7 flight: N911AS tail: N911AS type: AS50 seen: 439 times
feed_copterspotter  | 2024-10-25 00:03:36,331 - feed_copterspotter - INFO - Heli Reported ac9a73: 1729814616.0 AS50 N911AS N911AS altbaro 300 altgeom 275 head 240.57 Lat: 38.894531, Lon: -76.937614 gs 44.8 rssi -22.4 no squawk
feed_copterspotter  | 2024-10-25 00:03:36,516 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-25 00:04:06,518 - feed_copterspotter - INFO - Updating Helidb at 2024-10-25 00:04:06 UTC +0000 
feed_copterspotter  | 2024-10-25 00:04:06,531 - feed_copterspotter - INFO - Aircraft: ac9a73 is rotorcraft - Category: A7 flight: N911AS tail: N911AS type: AS50 seen: 440 times
feed_copterspotter  | 2024-10-25 00:04:06,532 - feed_copterspotter - INFO - Heli Reported ac9a73: 1729814646.0 AS50 N911AS N911AS altbaro 300 altgeom 275 head 176.35 Lat: 38.894806, Lon: -76.937375 gs 47.1 rssi -24.0 no squawk
feed_copterspotter  | 2024-10-25 00:04:06,739 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-25 00:04:36,741 - feed_copterspotter - INFO - Updating Helidb at 2024-10-25 00:04:36 UTC +0000 
feed_copterspotter  | 2024-10-25 00:04:36,752 - feed_copterspotter - INFO - Aircraft: ac9a73 is rotorcraft - Category: A7 flight: N911AS tail: N911AS type: AS50 seen: 441 times
feed_copterspotter  | 2024-10-25 00:04:36,753 - feed_copterspotter - INFO - Heli Reported ac9a73: 1729814676.0 AS50 N911AS no call (N911AS) altbaro 300 altgeom 275 head 210.53 Lat: 38.893845, Lon: -76.937674 gs 45.3 rssi -23.0 no squawk
feed_copterspotter  | 2024-10-25 00:04:36,941 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-25 00:05:06,944 - feed_copterspotter - INFO - Updating Helidb at 2024-10-25 00:05:06 UTC +0000 
feed_copterspotter  | 2024-10-25 00:05:06,955 - feed_copterspotter - INFO - Aircraft: ac9a73 is rotorcraft - Category: A7 flight: N911AS tail: N911AS type: AS50 seen: 442 times
feed_copterspotter  | 2024-10-25 00:05:06,956 - feed_copterspotter - INFO - Heli Reported ac9a73: 1729814706.0 AS50 N911AS no call (N911AS) altbaro 300 altgeom 275 head 210.53 Lat: 38.893836, Lon: -76.938049 gs 45.3 rssi -22.7 no squawk
feed_copterspotter  | 2024-10-25 00:05:07,168 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-25 00:05:37,170 - feed_copterspotter - INFO - Updating Helidb at 2024-10-25 00:05:37 UTC +0000 
feed_copterspotter  | 2024-10-25 00:05:37,181 - feed_copterspotter - INFO - Aircraft: ac9a73 is rotorcraft - Category: A7 flight: N911AS tail: N911AS type: AS50 seen: 443 times
feed_copterspotter  | 2024-10-25 00:05:37,181 - feed_copterspotter - INFO - Heli Reported ac9a73: 1729814737.0 AS50 N911AS no call (N911AS) altbaro 300 altgeom 275 head 240.57 Lat: 38.894721, Lon: -76.937683 gs 44.8 rssi -22.5 no squawk
feed_copterspotter  | 2024-10-25 00:05:37,366 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-25 00:06:07,368 - feed_copterspotter - INFO - Updating Helidb at 2024-10-25 00:06:07 UTC +0000 
feed_copterspotter  | 2024-10-25 00:06:07,380 - feed_copterspotter - INFO - Aircraft: ac9a73 is rotorcraft - Category: A7 flight: N911AS tail: N911AS type: AS50 seen: 444 times
feed_copterspotter  | 2024-10-25 00:06:07,380 - feed_copterspotter - INFO - Heli Reported ac9a73: 1729814767.0 AS50 N911AS no call (N911AS) altbaro 300 altgeom 275 head 161.22 Lat: 38.89476, Lon: -76.937435 gs 52.8 rssi -23.4 no squawk
feed_copterspotter  | 2024-10-25 00:06:07,593 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-25 00:06:37,595 - feed_copterspotter - INFO - Updating Helidb at 2024-10-25 00:06:37 UTC +0000 
feed_copterspotter  | 2024-10-25 00:06:37,607 - feed_copterspotter - INFO - Aircraft: ac9a73 is rotorcraft - Category: A7 flight: N911AS tail: N911AS type: AS50 seen: 445 times
feed_copterspotter  | 2024-10-25 00:06:37,607 - feed_copterspotter - INFO - Heli Reported ac9a73: 1729814797.0 AS50 N911AS no call (N911AS) altbaro 400 altgeom 375 head 154.8 Lat: 38.893661, Lon: -76.937614 gs 56.4 rssi -23.1 5165
feed_copterspotter  | 2024-10-25 00:06:37,799 - feed_copterspotter - INFO - Mongo Insert Status: 200
