group,tail,type,hex,operator,onMap?,callsign,radio callsign,year,details,parking spot,Notes,media,additional media,Bot Description
Medical,N302PH,EC35,A3280D,PHI Health: Inova AirCare,TRUE,,,2004,Eurocopter EC135-P2,,,https://twitter.com/markwclancy/status/1332450739910799361,https://flightaware.com/photos/view/12054605-29147668215a8afcd275b4b8377a9f83d3040f97/aircrafttype/EC35,
Medical,N303PH,EC35,A32BC4,PHI Health,TRUE,,,2004,Eurocopter EC135-P2,,,https://twitter.com/JorgensenDC/status/1346859628559265802,https://flightaware.com/photos/view/3480174-5755b49a98aee9bedc9cac38726ecdd65aa994ce/aircrafttype/EC35,@PHIAirMed Helicopter
Medical,N305PH,EC35,A33332,PHI Health,TRUE,,,2005,Eurocopter EC135-P2,,,,https://flightaware.com/photos/view/12232776-e2cc6f5070d6c863a19104ab9267fd1c40313fa4/aircrafttype/EC63,@PHIAirMed Helicopter
Medical,N308PH,EC35,A33E57,PHI Health,TRUE,,,2005,Eurocopter EC135-P2,,,https://flightaware.com/photos/view/3480174-f0706eab2125d2d1c91a73d611775cfe74f4a3ce/aircrafttype/EC35,,@PHIAirMed Helicopter
Medical,N324PH,EC35,A37E79,PHI Health,TRUE,,,2007,Eurocopter EC135-P2,,,https://twitter.com/markwclancy/status/1365801129192390657/photo/1,https://flightaware.com/photos/view/168017-32739ed7e53e4258e08cad529b14c213893a699c/aircrafttype/EC35,@PHIAirMed Helicopter
Medical,N329PH,EC35,A3910C,PHI Health,TRUE,,FirstCare 1,2006,Eurocopter EC135-P2,,,,https://flightaware.com/photos/view/269247-37f60049ad8fe5ea114c16e4670e1886a7a508cb/aircrafttype/EC13,@PHIAirMed Helicopter
Medical,N385PH,EC35,A46F2A,PHI Health,TRUE,,,2008,Eurocopter EC135-P2,,,,https://flightaware.com/photos/view/1039665-213e6701aef7d4157170aa3a0278a93374faf0f5/aircrafttype/EC35,@PHIAirMed Helicopter
Medical,N390PH,EC35,A48416,PHI Health,TRUE,CENTRA1,,2008,Eurocopter EC135-P2,,,seen on ADSB,,@PHIAirMed Helicopter
Medical,N427P,B407,A516E5,PHI Health,TRUE,,,1998,Bell 407,"Shannon Airport, Fredericksburg, VA",,https://twitter.com/Cupidwithabeard/status/1382084122487717891,https://flightaware.com/photos/view/8590579-fa4477007176812569657c7b796212fa55e522df/aircrafttype/HELI,@PHIAirMed Helicopter
Medical,N431P,B407,A5281A,PHI Health,TRUE,,,2008,Bell 407,,,https://twitter.com/1crazyarchitect/status/1331621819678404608,https://flightaware.com/photos/view/255732-073a842e8573c2251dd9b88617e4a5eb415a42d8/aircrafttype/B407,@PHIAirMed Helicopter
Medical,N304ME,EC35,A32F46,CenterEM: Stat MedEvac,TRUE,,,2007,Eurocopter MBB-BK 117 C-2,,,https://twitter.com/markwclancy/status/1333814159008468995/photo/1,https://flightaware.com/photos/view/8827053-f1f95af766a8caecb71ab5a10934e0a34f48f750/aircrafttype/EC14,
Medical,N307ME,EC45,A33A6B,CenterEM: Stat MedEvac,TRUE,,,,,,,,,
Medical,N442ME,EC35,A55323,CenterEM: Stat MedEvac,TRUE,,,2011,Eurocopter EC135-T2+,,,https://twitter.com/JoannaDBare/status/1383897799595495425,https://flightaware.com/photos/view/9334036-783a3fe793096365d0ec1ee59b502bc169bc652f/aircrafttype/EC35,
Medical,N507ME,EC45,A65509,CenterEM: Stat MedEvac,TRUE,,,2012,Eurocopter MBB-BK 117 C-2,,,https://twitter.com/holy_itsViper/status/1356697225305477120/photo/1,https://flightaware.com/photos/view/6093217-0d7c25c544d69f2e050c5a9dcbdd69b6a1bb4dc4/aircrafttype/EC35,
Medical,N522ME,EC45,A69174,CenterEM: Johns Hopkins Lifeline,TRUE,,,2012,Eurocopter MBB-BK 117 C-2,,,https://twitter.com/1crazyarchitect/status/1365066750535041024/photo/1,https://flightaware.com/photos/view/284228-8666782ea145c7bb4892a7e916a834f6a1cffaeb/aircrafttype/EC35,
Medical,N87ME,EC45,ABF515,CenterEM: Children's National SkyBear,TRUE,,,2013,Eurocopter MBB-BK 117 C-2,Children's National Hospital,,https://twitter.com/holy_itsViper/status/1365365839386574848/photo/1,https://flightaware.com/photos/view/10005416-7bc24627190ee2f6fbb2b4a2cdc3956cf2d8b8d4/aircrafttype/EC45,
Medical,N135WL,EC35,A08FC3,Med-Trans: Carilion Clinic Life Guard,TRUE,,,2012,Eurocopter EC135-P2+,,,https://twitter.com/markwclancy/status/1322238739691802635/photo/1,https://flightaware.com/photos/view/4452105-f89e5936cfab06d2ef706e10c6c9ccd83ed1ad2b/aircrafttype/EC35,
Medical,N135NK,EC35,A08EFA,Air Methods: VCUHealth,TRUE,,,2006,Eurocopter EC135-P2+,,,https://twitter.com/markwclancy/status/1351274112661020678/photo/1,https://flightaware.com/photos/view/12452160-64595af0ae60d9f79fc21be978c18e274d8cf871/aircrafttype/EC13,
Medical,N138HN,EC35,A099A5,Peoples Capital: HealthNet Aeromedical,TRUE,HealthNet8,,2012,Eurocopter EC135-P2+,,,https://twitter.com/markwclancy/status/1358909946025361409,https://flightaware.com/photos/view/9334036-89f99b710de963261f0ed2cbc017ee3ac9b51ef4/aircrafttype/EC35,
Medical,N660AE,B407,A8B43E,Air Evac Lifeteam,TRUE,,,2012,Bell 407,,,seen on ADSB,https://flightaware.com/photos/view/12263173-5b7b84aab95b184c4353efdd358dfc39db63991d/aircrafttype/B407,
Medical,N531LN,EC35,A6B52B,LifeNet,TRUE,,,2006,Eurocopter EC135-P2+,,Crashed near Philly in January 2022 :(,seen on ADSB,https://flightaware.com/photos/view/9334036-8f752f275e11424d90d0d58b96a72f01d7bab6bf/aircrafttype/EC35,
Medical,N145NG,EC45,A0B676,Sentara Healthcare,TRUE,,Nightingale,2010,MBB BK117,Sentara Norfolk General Hospital,,seen on ADSB,https://flightaware.com/photos/view/8770027-5424ae80183d76a3471a58d0c3b85d98fd52d979/aircrafttype/EC45,
Medical,N705MT,B407,A96846,HCA VA Air Care Eagle,TRUE,,,2013,Bell 407,Richmond Exec - Chesterfield County,,seen on ADSB,https://flightaware.com/photos/view/1461490-3c6199d19371e84d86bcc5269b79e790f70518e0/aircrafttype/B407,
Medical,N5UV,A109E,A63714,RECTOR AND VISITORS OF THE UNIVERSITY OF VIRGINIA,TRUE,,Pegasus,,AGUSTA SPA A109E,"U Virginia Medical Center, Charlottesville",,seen on ADSB,https://flightaware.com/photos/view/41543-139060ffc7da49952025836c2775a36f51e4af80/aircrafttype/A109,
Medical,N912CC,BK117,AC9E4E,Christiana Care/Air Methods Medical ,TRUE,,,,,,,medevacwhi64.png,,
,,,,,,,,,,,,,,
News,N111TV,R66,A031A7,FOX5/ABC7/WUSA,TRUE,,,2019,Robinson R66,"Ft Meade, MD",,,,
News,N611TV,R66,A7F432,FOX5/ABC7/WUSA backup,TRUE,,,,Robinson R66,,,,,
News,N991TV,R44,ADD817,same owner as N111TV Fox/ABC/CBS,TRUE,,,,,,,,,
