group,tail,type,hex,operator,onMap?,callsign,radio callsign,year,details,parking spot,Notes,media,additional media,Bot Description
USAF,96668,UH1N,,USAF 1HS,,,,,"Huey, Iroquois",FedEx Field,,https://twitter.com/holy_itsViper/status/1385622061960376326/photo/1,,
USAF,96669,UH1N,,"USAF 1HS ##th Wing Command Chief, CMSgt? ?",,,,,"Huey, Iroquois",FedEx Field,,https://twitter.com/districtheli/status/1385260427727282178/photo/1,,
USAF,97536,UH1N,,USAF 1HS,,,,,"Huey, Iroquois",FedEx Field,,https://twitter.com/1crazyarchitect/status/1334928237466673154,,
USAF,97537,UH1N,,USAF 1HS,,,,,"Huey, Iroquois",FedEx Field,,https://twitter.com/1crazyarchitect/status/1369709749571383308/photo/1,,
USAF,97538,UH1N,,USAF 1HS ? TSgt Matthew ? Crew Chief Jeffrey ?,,,,,"Huey, Iroquois",FedEx Field,,https://twitter.com/holy_itsViper/status/1372951234446032900,,
,MUSEL18,UH1N,,,,,,,,,,,https://helicoptersofdc.com/helicopters/6-us-air-force-1st-helicopter-squadron/,Air Force 1st Squadron Helicopter
USCG,6553,MH65,,CGAS Atlantic City,,Blackjack,,,Dolphin MH-65D,DCA Terminal 1,,https://twitter.com/holy_itsViper/status/1372315129262538752/photo/1,,
USCG,6560,MH65,,CGAS Atlantic City,,Blackjack,,,Dolphin MH-65D,DCA Terminal 1,,https://twitter.com/1crazyarchitect/status/1354805281989873664/photo/1,https://flightaware.com/photos/view/2921487-b0a5f3aec404118b5b59a9cdde29e4ad7e00c5a4/aircrafttype/S65C,
USCG,6563,MH65,,CGAS Atlantic City,,Blackjack,,,Dolphin MH-65D,DCA Terminal 1,,https://twitter.com/holy_itsViper/status/1386051714525057033/photo/1,https://flightaware.com/photos/view/113873-ab134c9aa421b618e999ecce2916b0aceea9e9f7/aircrafttype/HH65,
USCG,6579,MH65,,CGAS Atlantic City,,Blackjack,,,Dolphin MH-65D,DCA Terminal 1,,https://twitter.com/holy_itsViper/status/1357727158077120515/photo/1,https://flightaware.com/photos/view/113873-ab134c9aa421b618e999ecce2916b0aceea9e9f7/aircrafttype/HH65,
USCG,6588,MH65,,CGAS Atlantic City,,Blackjack,,,Dolphin MH-65D,DCA Terminal 1,,https://twitter.com/holy_itsViper/status/1385293995128115202/photo/1,,
USCG,6024,H60,,USCG,,,70-1706,,Jayhawk MH-60T,,,https://twitter.com/1crazyarchitect/status/1379797761047072768/photo/1,,
,74-59188,UH1,,,,,MUSEL 16,,,,,,,
,,,,,,,,,,,,,,
,11-72212,UH72,,,,,,,DC National Guard Medevac Helicopter that used rotor wash on peaceful protesters June 1st 2020,,,https://www.washingtonpost.com/graphics/2020/investigations/helicopter-protests-washington-dc-national-guard/,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Medical,N811ME,EC35,,CenterEM: Stat MedEvac,,,,2015,EC-135T-2+,,Hex:  AB0E2B,,,
Army,11-72208,UH72,,US Army,,,,,UH-72 Lakota,,Hex:  AE1FDF,,,
Medical,N600LL,AS65,,Life Lion / Penn State / Milton Hershey Medical Center,,,,1987,1987 EUROCOPTER AS365N3,"Hmc Hangar Airport (Hershey, PA) 8PS5",,,,
Medical,N611LL,AS65,,Life Lion / Penn State / Milton Hershey Medical Center,,,,1994,1994 EUROCOPTER AS 365 N2 DAUPHIN,"Hmc Hangar Airport (Hershey, PA) 8PS5",,,,
Medical,N916LL,EC55,,Life Lion / Penn State / Milton Hershey Medical Center,,,,2011,2011 EUROCOPTER EC 155 B1,"Hmc Hangar Airport (Hershey, PA) 8PS5",,,,
