feed_copterspotter  | 2024-10-28 00:04:59,092 - feed_copterspotter - INFO - Aircraft: ac9f65 is rotorcraft - Category: A7 flight: GARDN2 tail: N912PG type: MD52 seen: 156 times
feed_copterspotter  | 2024-10-28 00:04:59,092 - feed_copterspotter - INFO - Heli Reported ac9f65: 1730073899.001 MD52 N912PG GARDN2 altbaro 700 altgeom 1025 head 255.47 Lat: 38.905986, Lon: -76.859985 gs 55.8 rssi -21.9 5142
feed_copterspotter  | 2024-10-28 00:04:59,270 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-28 00:05:29,272 - feed_copterspotter - INFO - Updating Helidb at 2024-10-28 00:05:29 UTC +0000 
feed_copterspotter  | 2024-10-28 00:05:29,286 - feed_copterspotter - INFO - Aircraft: ac9f65 is rotorcraft - Category: A7 flight: GARDN2 tail: N912PG type: MD52 seen: 157 times
feed_copterspotter  | 2024-10-28 00:05:29,286 - feed_copterspotter - INFO - Heli Reported ac9f65: 1730073929.001 MD52 N912PG GARDN2 altbaro 575 altgeom 900 head 214.7 Lat: 38.906219, Lon: -76.855591 gs 63.2 rssi -21.6 5142
feed_copterspotter  | 2024-10-28 00:05:29,546 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-28 00:05:59,551 - feed_copterspotter - INFO - Updating Helidb at 2024-10-28 00:05:59 UTC +0000 
feed_copterspotter  | 2024-10-28 00:05:59,563 - feed_copterspotter - INFO - Aircraft: ac9f65 is rotorcraft - Category: A7 flight: GARDN2 tail: N912PG type: MD52 seen: 158 times
feed_copterspotter  | 2024-10-28 00:05:59,564 - feed_copterspotter - INFO - Heli Reported ac9f65: 1730073959.001 MD52 N912PG GARDN2 altbaro 600 altgeom 900 head 327.14 Lat: 38.905106, Lon: -76.860949 gs 57.1 rssi -22.1 no squawk
feed_copterspotter  | 2024-10-28 00:05:59,813 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-28 00:06:29,815 - feed_copterspotter - INFO - Updating Helidb at 2024-10-28 00:06:29 UTC +0000 
feed_copterspotter  | 2024-10-28 00:06:29,827 - feed_copterspotter - INFO - Aircraft: ac9f65 is rotorcraft - Category: A7 flight: GARDN2 tail: N912PG type: MD52 seen: 159 times
feed_copterspotter  | 2024-10-28 00:06:29,827 - feed_copterspotter - INFO - Heli Reported ac9f65: 1730073989.001 MD52 N912PG GARDN2 altbaro 475 altgeom 775 head 327.14 Lat: 38.905106, Lon: -76.860949 gs 57.1 rssi -24.5 no squawk
feed_copterspotter  | 2024-10-28 00:06:30,071 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-28 00:07:00,073 - feed_copterspotter - INFO - Updating Helidb at 2024-10-28 00:07:00 UTC +0000 
feed_copterspotter  | 2024-10-28 00:07:00,095 - feed_copterspotter - INFO - Aircraft: ac9f65 is rotorcraft - Category: A7 flight: GARDN2 tail: N912PG type: MD52 seen: 160 times
feed_copterspotter  | 2024-10-28 00:07:00,096 - feed_copterspotter - INFO - No Lat/Lon - Not reported: ac9f65: 1730074020.001 MD52 N912PG GARDN2 altbaro 475 altgeom 775 no heading Lat: None, Lon: None
feed_copterspotter  | 2024-10-28 00:07:30,098 - feed_copterspotter - INFO - Updating Helidb at 2024-10-28 00:07:30 UTC +0000 
feed_copterspotter  | 2024-10-28 00:07:30,109 - feed_copterspotter - INFO - Aircraft: ac9f65 is rotorcraft - Category: A7 flight: GARDN2 tail: N912PG type: MD52 seen: 161 times
feed_copterspotter  | 2024-10-28 00:07:30,110 - feed_copterspotter - INFO - Heli Reported ac9f65: 1730074050.001 MD52 N912PG GARDN2 altbaro 400 altgeom 725 head 241.63 Lat: 38.904648, Lon: -76.857844 gs 56.8 rssi -22.5 no squawk
feed_copterspotter  | 2024-10-28 00:07:30,355 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-28 00:08:00,357 - feed_copterspotter - INFO - Updating Helidb at 2024-10-28 00:08:00 UTC +0000 
feed_copterspotter  | 2024-10-28 00:08:00,369 - feed_copterspotter - INFO - Aircraft: ac9f65 is rotorcraft - Category: A7 flight: GARDN2 tail: N912PG type: MD52 seen: 162 times
feed_copterspotter  | 2024-10-28 00:08:00,369 - feed_copterspotter - INFO - Heli Reported ac9f65: 1730074080.001 MD52 N912PG GARDN2 altbaro 450 altgeom 775 head 241.63 Lat: 38.903091, Lon: -76.862501 gs 56.8 rssi -23.0 no squawk
feed_copterspotter  | 2024-10-28 00:08:00,536 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-28 00:08:30,538 - feed_copterspotter - INFO - Updating Helidb at 2024-10-28 00:08:30 UTC +0000 
feed_copterspotter  | 2024-10-28 00:08:30,550 - feed_copterspotter - INFO - Aircraft: ac9f65 is rotorcraft - Category: A7 flight: GARDN2 tail: N912PG type: MD52 seen: 163 times
feed_copterspotter  | 2024-10-28 00:08:30,550 - feed_copterspotter - INFO - Heli Reported ac9f65: 1730074110.001 MD52 N912PG GARDN2 altbaro 525 altgeom 825 head 316.59 Lat: 38.902725, Lon: -76.871995 gs 50.9 rssi -22.1 no squawk
feed_copterspotter  | 2024-10-28 00:08:30,722 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-28 00:09:00,724 - feed_copterspotter - INFO - Updating Helidb at 2024-10-28 00:09:00 UTC +0000 
feed_copterspotter  | 2024-10-28 00:09:00,736 - feed_copterspotter - INFO - Aircraft: ac9f65 is rotorcraft - Category: A7 flight: GARDN2 tail: N912PG type: MD52 seen: 164 times
